     psLayout
     
     ---------------------------------------------------------------------------------------------------------------------------------------------------------------
10059332_D3Hmgc24_0_127bp chr3 + 187757713 187757839 126
10059332_D3Hmgc24_0_751bp chr8 + 52209156 52209906 750
10334_D1Wox14_206_199bp chr1 + 87558522 87558720 198
10334_D1Wox14_206_191bp chr1 + 87577098 87577288 190
10335_D1Arb36_327_331bp chr1 + 87558475 87558805 330
10335_D1Arb36_327_324bp chr1 + 87577050 87577373 323
10344_D3Wox12_125_117bp chr3 + 32282698 32282814 116
10402886_D10Chm274_175_176bp chr10 + 77678020 77678195 175
10402886_D10Chm274_175_1758bp chr9 + 33161541 33163298 1757
10402888_D10Chm275_227_228bp chr10 + 95853111 95853338 227
10402888_D10Chm275_227_10962bp chr9 + 97188931 97199892 10961
10402910_D10Chm286_228_229bp chr10 + 92076610 92076838 228
10402910_D10Chm286_228_2877bp chr16 + 73120203 73123079 2876
10427_D7Wox19_257_250bp chr7 + 108719984 108720233 249
10427_D7Wox19_257_245bp chr7 + 108688776 108689020 244
10431_D7Wox18_250_222bp chr7 + 108654041 108654262 221
10431_D7Wox18_250_222bp chr7 + 108630057 108630278 221
10431_D7Wox18_250_222bp chr7 + 108654041 108654262 221
10431_D7Wox18_250_222bp chr7 + 108630057 108630278 221
10443_D1Mgh28_389_393bp chr1 + 91301531 91301923 392
10443_D1Mgh28_389_9109bp chr7 + 121686242 121695350 9108
10502_D3Mgh10_108_112bp chr3 + 180317215 180317326 111
10502_D3Mgh10_108_959bp chr2 + 170744743 170745701 958
10522_D4Wox14_120_128bp chr4 + 159264489 159264616 127
10522_D4Wox14_120_5028bp chr2 + 244932634 244937661 5027
10627_D10Mcw1_166_169bp chr10 + 106311619 106311787 168
10627_D10Mcw1_166_12882bp chr8 + 131600894 131613775 12881
10878_D12Wox9_118_135bp chr1 + 191178157 191178291 134
10878_D12Wox9_118_104bp chr12 + 21206736 21206839 103
10880_D7Mgh22_124_125bp chr7 + 54774231 54774355 124
10880_D7Mgh22_124_11364bp chr5 + 76861594 76872957 11363
10931_D5Wox13_226_223bp chr5 + 80419382 80419604 222
10931_D5Wox13_226_250bp chr5 + 79960685 79960934 249
10992_D10Mco38_215_215bp chr10 + 64344811 64345025 214
10992_D10Mco38_215_215bp chr10 + 64397920 64398134 214
11022_D17Wox10_147_162bp chr17 + 5874479 5874640 161
11022_D17Wox10_147_11598bp chr7 + 60077405 60089002 11597
11030_D14Mit4_139_127bp chr14 + 42690606 42690732 126
11030_D14Mit4_139_120bp chr14 + 42604984 42605103 119
11108_D2Wox19_132_145bp chr2 + 176838537 176838681 144
11108_D2Wox19_132_2729bp chr11 + 74267045 74269773 2728
11137_D10Wox17_153_160bp chr10 + 87555315 87555474 159
11137_D10Wox17_153_6493bp chr18 + 25862808 25869300 6492
11150_D17Wox11_134_141bp chr17 + 38299390 38299530 140
11150_D17Wox11_134_155bp chr1 + 30497253 30497407 154
11179_D1Arb39_328_333bp chr1 + 215922223 215922555 332
11179_D1Arb39_328_338bp chr1 + 215794014 215794351 337
11206_D20Arb2_164_160bp chr20 + 2671314 2671473 159
11206_D20Arb2_164_162bp chr20 + 2651216 2651377 161
11207_D20Wox5_259_287bp chr20 + 2641607 2641893 286
11207_D20Wox5_259_262bp chr20 + 2663716 2663977 261
11241_D6Mit3_117_118bp chr6 - 77937843 77937960 117
11241_D6Mit3_117_118bp chr6 + 77962723 77962840 117
11241_D6Mit3_117_118bp chr6 - 77962723 77962840 117
11241_D6Mit3_117_118bp chr6 + 77937843 77937960 117
11267_D8Wox12_253_254bp chr8 + 128197711 128197964 253
11267_D8Wox12_253_4199bp chr1 + 55368211 55372409 4198
11282_D12Arb7_340_349bp chr12 + 41751946 41752294 348
11282_D12Arb7_340_12421bp chr7 + 1540521 1552941 12420
11369_DXWox10_217_218bp chrX + 3724346 3724563 217
11369_DXWox10_217_260bp chr5 + 66229490 66229749 259
11371_DXMgh1_144_145bp chrX + 17537354 17537498 144
11371_DXMgh1_144_11830bp chr9 + 21068778 21080607 11829
11410_D4Arb5_247_248bp chr4 + 120257264 120257511 247
11410_D4Arb5_247_14294bp chr2 + 194612941 194627234 14293
11450_D12Mgh12_140_141bp chr12 + 27633070 27633210 140
11450_D12Mgh12_140_2339bp chr4 + 124939629 124941967 2338
11464_D1Wox39_0_223bp chr1 + 172454203 172454425 222
11464_D1Wox39_0_8605bp chr10 + 102644262 102652866 8604
1358024_D16Chm33_198_199bp chr16 + 194538 194736 198
1358024_D16Chm33_198_2867bp chr16 + 51643194 51646060 2866
1358029_D16Chm55_195_196bp chr16 + 837312 837507 195
1358029_D16Chm55_195_690bp chr16 + 836818 837507 689
1556753_D17Chm55_393_394bp chr17 + 34670055 34670448 393
1556753_D17Chm55_393_857bp chr1 + 130512555 130513411 856
1578845_D18Chm94_239_240bp chr18 + 60653170 60653409 239
1578845_D18Chm94_239_1732bp chrX + 64231271 64233002 1731
1578859_D10Chm194_243_244bp chr10 + 73067701 73067944 243
1578859_D10Chm194_243_9400bp chr15 + 35270598 35279997 9399
1578884_D18Chm19_210_215bp chr18 + 12358621 12358835 214
1578884_D18Chm19_210_700bp chr18 + 17041087 17041786 699
1578915_D10Chm124_188_189bp chr10 + 66255862 66256050 188
1578915_D10Chm124_188_2618bp chr6 + 31458180 31460797 2617
1578944_D18Chm95_240_240bp chr18 + 60711374 60711613 239
1578944_D18Chm95_240_1804bp chr5 + 141393871 141395674 1803
1578985_D10Chm175_228_229bp chr10 + 68368440 68368668 228
1578985_D10Chm175_228_2345bp chr8 + 66439010 66441354 2344
1579014_D18Chm8_164_163bp chr18 + 18400670 18400832 162
1579014_D18Chm8_164_10274bp chr15 + 8738034 8748307 10273
1579044_D18Chm30_185_186bp chr18 + 1111438 1111623 185
1579044_D18Chm30_185_384bp chr18 + 1111240 1111623 383
1579065_D10Chm261_224_225bp chr10 + 95613053 95613277 224
1579065_D10Chm261_224_8686bp chr15 + 24128433 24137118 8685
1579067_D10Chm250_218_215bp chr10 + 96467924 96468138 214
1579067_D10Chm250_218_12380bp chr2 + 200303215 200315594 12379
1579116_D18Chm24_174_177bp chr18 + 20026783 20026959 176
1579116_D18Chm24_174_163bp chr7 + 112287375 112287537 162
1579172_D18Chm40_215_218bp chr18 + 29191475 29191692 217
1579172_D18Chm40_215_8766bp chr5 + 101669217 101677982 8765
1582018_D13Hmgc98_183_184bp chr13 + 42062176 42062359 183
1582018_D13Hmgc98_183_10884bp chr20 + 17457990 17468873 10883
1582048_D3Mco80_223_224bp chr3 + 184002635 184002858 223
1582048_D3Mco80_223_7290bp chr7 + 56827147 56834436 7289
1582052_D3Mco38_0_164bp chr3 + 188069537 188069700 163
1582052_D3Mco38_0_14154bp chr4 + 128995769 129009922 14153
1582064_D3Mco62_210_211bp chr3 + 186023559 186023769 210
1582064_D3Mco62_210_12814bp chr3 + 111558415 111571228 12813
1582074_D3Mco70_0_227bp chr3 + 182885527 182885753 226
1582074_D3Mco70_0_123bp chr3 + 182885631 182885753 122
1582086_D3Mco68_0_158bp chr3 + 182378012 182378169 157
1582086_D3Mco68_0_1001bp chr6 + 49626479 49627479 1000
1626931_D1Mco67_199_200bp chr1 + 141666447 141666646 199
1626931_D1Mco67_199_10665bp chr10 + 74953281 74963945 10664
1626973_D9Mco45_185_186bp chr9 + 84087002 84087187 185
1626973_D9Mco45_185_33bp chr11 + 96931043 96931075 32
1627155_D9Mco66_200_201bp chr9 + 84147967 84148167 200
1627155_D9Mco66_200_11959bp chr9 + 64714920 64726878 11958
1627175_D4Uia10_0_302bp chr4 + 40255096 40255397 301
1627175_D4Uia10_0_276bp chr6 + 91998272 91998547 275
1627321_D1Mco52_0_204bp chr1 + 144895945 144896148 203
1627321_D1Mco52_0_398bp chr1 + 144895751 144896148 397
1627493_D7Mco22_287_288bp chr7 + 108560804 108561091 287
1627493_D7Mco22_287_3910bp chr6 + 60283248 60287157 3909
1627806_D14Got125_242_243bp chr14 + 70598440 70598682 242
1627806_D14Got125_242_13602bp chr1 + 20998899 21012500 13601
1627944_D3Cebr6_96_97bp chr3 + 29345732 29345828 96
1627944_D3Cebr6_96_3631bp chr13 + 103414785 103418415 3630
1627958_D17Wox30_0_96bp chr17 + 9241970 9242069 95
1627958_D17Wox30_0_96bp chr17 + 9153460 9153555 95
1627958_D17Wox30_0_100bp chr17 + 9241970 9242069 99
1628156_D16Wox27_182_183bp chr16 + 77198004 77198186 182
1628156_D16Wox27_182_136bp chr16 + 77217474 77217609 135
1628233_D17Got217_182_183bp chr17 + 1717926 1718108 182
1628233_D17Got217_182_13920bp chr10 + 36058305 36072224 13919
1628444_D3Got265_147_148bp chr3 + 145328605 145328752 147
1628444_D3Got265_147_12167bp chr8 + 120512973 120525139 12166
1628562_D4Wox51_0_114bp chr4 + 116969675 116969788 113
1628562_D4Wox51_0_141bp chr4 + 116969675 116969815 140
1628575_D8Wox26_173_174bp chr8 + 39066130 39066303 173
1628575_D8Wox26_173_11265bp chr1 + 77755024 77766288 11264
1628579_D10Wox49_186_197bp chr10 + 38634333 38634529 196
1628579_D10Wox49_186_10976bp chrY + 33539906 33550881 10975
